complex_id,name,district,dong,households,built_ymd,min_area_m2,max_area_m2,min_price_manwon,max_price_manwon,sale_count,lat,lng,url
14032,쌍용스윗닷홈거여역1차,송파구,거여동,95,200604,104.20,128.20,110000,135000,8,37.4924312,127.1459084,https://kbland.kr/c/14032
12437,어울림(금호),송파구,거여동,140,200311,108.32,151.28,102500,123000,3,37.4921140,127.1431754,https://kbland.kr/c/12437
46135,엘리트하우스(도),송파구,거여동,14,201905,36.77,64.20,,,0,37.4917307,127.1456276,https://kbland.kr/c/46135
1885,우방(1차),송파구,거여동,257,199905,85.44,142.53,100000,131000,9,37.4925853,127.1423105,https://kbland.kr/c/1885
435424,인투파크거여1단지,송파구,거여동,16,202006,29.71,36.66,,,0,37.4958769,127.1449811,https://kbland.kr/c/435424
18426,청솔,송파구,거여동,12,200301,66.34,86.21,,,0,37.4926402,127.1499092,https://kbland.kr/c/18426
24785,팰리스힐,송파구,거여동,19,200908,85.44,109.56,73000,99900,1,37.4982792,127.1434442,https://kbland.kr/c/24785
323274,포레나송파,송파구,거여동,1282,202108,86.26,109.75,,,515,37.4858229,127.1490246,https://kbland.kr/c/323274
1886,현대(1차),송파구,거여동,497,199112,86.05,103.74,103000,140000,22,37.4931590,127.1406642,https://kbland.kr/c/1886
1883,현대(2차),송파구,거여동,280,199202,100.76,100.76,125000,125000,4,37.4944470,127.1468014,https://kbland.kr/c/1883
1890,현대3차,송파구,거여동,303,199307,101.86,104.21,124500,124500,13,37.4972157,127.1446551,https://kbland.kr/c/1890
2136651,힐트리움송파,송파구,거여동,44,202603,47.33,52.78,,,0,37.4967519,127.1431209,https://kbland.kr/c/2136651
1904,금호어울림1차(금호베스트빌),송파구,마천동,215,200203,110.06,147.17,109000,120000,5,37.4982079,127.1548109,https://kbland.kr/c/1904
18225,기영.,송파구,마천동,19,199808,66.21,93.90,72000,104100,0,37.4973716,127.1525246,https://kbland.kr/c/18225
33889,뉴타운,송파구,마천동,8,200401,74.64,82.61,,,0,37.4985808,127.1540377,https://kbland.kr/c/33889
21669,다우림,송파구,마천동,19,200501,97.46,97.46,85400,85400,1,37.4995459,127.1430708,https://kbland.kr/c/21669
